Node Name,Mass
KIKI1.101,5.181
KIKI2.102,5.181
KIKI3.103,17.6625
MINUS_X.1401,0.081396
MINUS_Y.1501,0.0372096
MINUS_Y.1502,0.0186048
MINUS_Y.1503,0.0372096
MINUS_Y.1504,0.0186048
MINUS_Y.1505,0.0093024
MINUS_Y.1506,0.0186048
MINUS_Y.1507,0.0372096
MINUS_Y.1508,0.0186048
MINUS_Y.1509,0.0372096
MINUS_Y.21501,0.0186048
MINUS_Y.21502,0.0093024
MINUS_Y.21503,0.0186048
MINUS_Y.21504,0.0093024
MINUS_Y.21505,0.0046512
MINUS_Y.21506,0.0093024
MINUS_Y.21507,0.0186048
MINUS_Y.21508,0.0093024
MINUS_Y.21509,0.0186048
MINUS_Z.1601,0.081396
PLUS_X.1101,0.081396
PLUS_Y.1201,0.11628
PLUS_Z.1301,0.081396
