solar 1.419999985955656e+03
albedo 2.000000029802322e-01
planet 2.600000007078051e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 6.052413278791004e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
        0,    0.00,    0.00 sun,   < 0.000, 0.500,-0.866>, < 0.000, 0.000, 1.000>,  1.125
  60.5241,    3.60,    3.60 sun,   <-0.054, 0.500,-0.864>, <-0.000, 0.000, 1.000>,  1.125
  121.048,    7.20,    7.20 sun,   <-0.109, 0.500,-0.859>, <-0.000, 0.000, 1.000>,  1.125
  181.572,   10.80,   10.80 sun,   <-0.162, 0.500,-0.851>, < 0.000, 0.000, 1.000>,  1.125
  242.097,   14.40,   14.40 sun,   <-0.215, 0.500,-0.839>, < 0.000,-0.000, 1.000>,  1.125
  302.621,   18.00,   18.00 sun,   <-0.268, 0.500,-0.824>, < 0.000, 0.000, 1.000>,  1.125
  363.145,   21.60,   21.60 sun,   <-0.319, 0.500,-0.805>, < 0.000, 0.000, 1.000>,  1.125
  423.669,   25.20,   25.20 sun,   <-0.369, 0.500,-0.784>, < 0.000, 0.000, 1.000>,  1.125
  484.193,   28.80,   28.80 sun,   <-0.417, 0.500,-0.759>, <-0.000,-0.000, 1.000>,  1.125
  544.717,   32.40,   32.40 sun,   <-0.464, 0.500,-0.731>, <-0.000,-0.000, 1.000>,  1.125
  605.241,   36.00,   36.00 sun,   <-0.509, 0.500,-0.701>, < 0.000,-0.000, 1.000>,  1.125
  665.765,   39.60,   39.60 sun,   <-0.552, 0.500,-0.667>, <-0.000,-0.000, 1.000>,  1.125
   726.29,   43.20,   43.20 sun,   <-0.593, 0.500,-0.631>, <-0.000, 0.000, 1.000>,  1.125
  786.814,   46.80,   46.80 sun,   <-0.631, 0.500,-0.593>, <-0.000, 0.000, 1.000>,  1.125
  847.338,   50.40,   50.40 sun,   <-0.667, 0.500,-0.552>, <-0.000, 0.000, 1.000>,  1.125
  907.862,   54.00,   54.00 sun,   <-0.701, 0.500,-0.509>, <-0.000, 0.000, 1.000>,  1.125
  968.386,   57.60,   57.60 sun,   <-0.731, 0.500,-0.464>, < 0.000,-0.000, 1.000>,  1.125
  1028.91,   61.20,   61.20 sun,   <-0.759, 0.500,-0.417>, <-0.000, 0.000, 1.000>,  1.125
  1089.43,   64.80,   64.80 sun,   <-0.784, 0.500,-0.369>, < 0.000,-0.000, 1.000>,  1.125
  1149.96,   68.40,   68.40 sun,   <-0.805, 0.500,-0.319>, < 0.000,-0.000, 1.000>,  1.125
  1210.48,   72.00,   72.00 sun,   <-0.824, 0.500,-0.268>, < 0.000, 0.000, 1.000>,  1.125
  1271.01,   75.60,   75.60 sun,   <-0.839, 0.500,-0.215>, <-0.000,-0.000, 1.000>,  1.125
  1331.53,   79.20,   79.20 sun,   <-0.851, 0.500,-0.162>, <-0.000, 0.000, 1.000>,  1.125
  1392.06,   82.80,   82.80 sun,   <-0.859, 0.500,-0.109>, <-0.000,-0.000, 1.000>,  1.125
  1452.58,   86.40,   86.40 sun,   <-0.864, 0.500,-0.054>, <-0.000, 0.000, 1.000>,  1.125
   1513.1,   90.00,   90.00 sun,   <-0.866, 0.500,-0.000>, < 0.000, 0.000, 1.000>,  1.125
  1573.63,   93.60,   93.60 sun,   <-0.864, 0.500, 0.054>, <-0.000,-0.000, 1.000>,  1.125
  1634.15,   97.20,   97.20 sun,   <-0.859, 0.500, 0.109>, < 0.000, 0.000, 1.000>,  1.125
  1694.68,  100.80,  100.80 sun,   <-0.851, 0.500, 0.162>, < 0.000, 0.000, 1.000>,  1.125
   1755.2,  104.40,  104.40 sun,   <-0.839, 0.500, 0.215>, <-0.000, 0.000, 1.000>,  1.125
  1815.72,  108.00,  108.00 sun,   <-0.824, 0.500, 0.268>, < 0.000, 0.000, 1.000>,  1.125
  1876.25,  111.60,  111.60 sun,   <-0.805, 0.500, 0.319>, < 0.000, 0.000, 1.000>,  1.125
  1936.77,  115.20,  115.20 sun,   <-0.784, 0.500, 0.369>, <-0.000, 0.000, 1.000>,  1.125
   1997.3,  118.80,  118.80 sun,   <-0.759, 0.500, 0.417>, < 0.000, 0.000, 1.000>,  1.125
  2050.94,  121.99,  121.99 entry, <-0.735, 0.500, 0.459>, <-0.000, 0.000, 1.000>,  1.125
  2057.82,  122.40,  122.40 shade, <-0.731, 0.500, 0.464>, <-0.000, 0.000, 1.000>,  1.125
  2118.34,  126.00,  126.00 shade, <-0.701, 0.500, 0.509>, < 0.000, 0.000, 1.000>,  1.125
  2178.87,  129.60,  129.60 shade, <-0.667, 0.500, 0.552>, < 0.000, 0.000, 1.000>,  1.125
  2239.39,  133.20,  133.20 shade, <-0.631, 0.500, 0.593>, < 0.000, 0.000, 1.000>,  1.125
  2299.92,  136.80,  136.80 shade, <-0.593, 0.500, 0.631>, <-0.000, 0.000, 1.000>,  1.125
  2360.44,  140.40,  140.40 shade, <-0.552, 0.500, 0.667>, <-0.000, 0.000, 1.000>,  1.125
  2420.97,  144.00,  144.00 shade, <-0.509, 0.500, 0.701>, <-0.000,-0.000, 1.000>,  1.125
  2481.49,  147.60,  147.60 shade, <-0.464, 0.500, 0.731>, <-0.000, 0.000, 1.000>,  1.125
  2542.01,  151.20,  151.20 shade, <-0.417, 0.500, 0.759>, < 0.000, 0.000, 1.000>,  1.125
  2602.54,  154.80,  154.80 shade, <-0.369, 0.500, 0.784>, <-0.000, 0.000, 1.000>,  1.125
  2663.06,  158.40,  158.40 shade, <-0.319, 0.500, 0.805>, <-0.000, 0.000, 1.000>,  1.125
  2723.59,  162.00,  162.00 shade, <-0.268, 0.500, 0.824>, <-0.000, 0.000, 1.000>,  1.125
  2784.11,  165.60,  165.60 shade, <-0.215, 0.500, 0.839>, <-0.000, 0.000, 1.000>,  1.125
  2844.63,  169.20,  169.20 shade, <-0.162, 0.500, 0.851>, < 0.000, 0.000, 1.000>,  1.125
  2905.16,  172.80,  172.80 shade, <-0.109, 0.500, 0.859>, < 0.000, 0.000, 1.000>,  1.125
  2965.68,  176.40,  176.40 shade, <-0.054, 0.500, 0.864>, < 0.000, 0.000, 1.000>,  1.125
  3026.21,  180.00,  180.00 shade, <-0.000, 0.500, 0.866>, <-0.000, 0.000, 1.000>,  1.125
  3086.73,  183.60,  183.60 shade, < 0.054, 0.500, 0.864>, <-0.000, 0.000, 1.000>,  1.125
  3147.25,  187.20,  187.20 shade, < 0.109, 0.500, 0.859>, < 0.000, 0.000, 1.000>,  1.125
  3207.78,  190.80,  190.80 shade, < 0.162, 0.500, 0.851>, < 0.000,-0.000, 1.000>,  1.125
   3268.3,  194.40,  194.40 shade, < 0.215, 0.500, 0.839>, < 0.000, 0.000, 1.000>,  1.125
  3328.83,  198.00,  198.00 shade, < 0.268, 0.500, 0.824>, < 0.000, 0.000, 1.000>,  1.125
  3389.35,  201.60,  201.60 shade, < 0.319, 0.500, 0.805>, <-0.000, 0.000, 1.000>,  1.125
  3449.88,  205.20,  205.20 shade, < 0.369, 0.500, 0.784>, <-0.000, 0.000, 1.000>,  1.125
   3510.4,  208.80,  208.80 shade, < 0.417, 0.500, 0.759>, < 0.000, 0.000, 1.000>,  1.125
  3570.92,  212.40,  212.40 shade, < 0.464, 0.500, 0.731>, <-0.000, 0.000, 1.000>,  1.125
  3631.45,  216.00,  216.00 shade, < 0.509, 0.500, 0.701>, < 0.000, 0.000, 1.000>,  1.125
  3691.97,  219.60,  219.60 shade, < 0.552, 0.500, 0.667>, < 0.000, 0.000, 1.000>,  1.125
   3752.5,  223.20,  223.20 shade, < 0.593, 0.500, 0.631>, < 0.000, 0.000, 1.000>,  1.125
  3813.02,  226.80,  226.80 shade, < 0.631, 0.500, 0.593>, <-0.000, 0.000, 1.000>,  1.125
  3873.54,  230.40,  230.40 shade, < 0.667, 0.500, 0.552>, <-0.000, 0.000, 1.000>,  1.125
  3934.07,  234.00,  234.00 shade, < 0.701, 0.500, 0.509>, < 0.000, 0.000, 1.000>,  1.125
  3994.59,  237.60,  237.60 shade, < 0.731, 0.500, 0.464>, <-0.000,-0.000, 1.000>,  1.125
  4001.48,  238.01,  238.01 exit,  < 0.735, 0.500, 0.459>, < 0.000,-0.000, 1.000>,  1.125
  4055.12,  241.20,  241.20 sun,   < 0.759, 0.500, 0.417>, < 0.000, 0.000, 1.000>,  1.125
  4115.64,  244.80,  244.80 sun,   < 0.784, 0.500, 0.369>, < 0.000, 0.000, 1.000>,  1.125
  4176.17,  248.40,  248.40 sun,   < 0.805, 0.500, 0.319>, <-0.000, 0.000, 1.000>,  1.125
  4236.69,  252.00,  252.00 sun,   < 0.824, 0.500, 0.268>, < 0.000, 0.000, 1.000>,  1.125
  4297.21,  255.60,  255.60 sun,   < 0.839, 0.500, 0.215>, < 0.000, 0.000, 1.000>,  1.125
  4357.74,  259.20,  259.20 sun,   < 0.851, 0.500, 0.162>, < 0.000, 0.000, 1.000>,  1.125
  4418.26,  262.80,  262.80 sun,   < 0.859, 0.500, 0.109>, <-0.000,-0.000, 1.000>,  1.125
  4478.79,  266.40,  266.40 sun,   < 0.864, 0.500, 0.054>, <-0.000, 0.000, 1.000>,  1.125
  4539.31,  270.00,  270.00 sun,   < 0.866, 0.500, 0.000>, <-0.000, 0.000, 1.000>,  1.125
  4599.83,  273.60,  273.60 sun,   < 0.864, 0.500,-0.054>, < 0.000, 0.000, 1.000>,  1.125
  4660.36,  277.20,  277.20 sun,   < 0.859, 0.500,-0.109>, < 0.000, 0.000, 1.000>,  1.125
  4720.88,  280.80,  280.80 sun,   < 0.851, 0.500,-0.162>, < 0.000, 0.000, 1.000>,  1.125
  4781.41,  284.40,  284.40 sun,   < 0.839, 0.500,-0.215>, < 0.000, 0.000, 1.000>,  1.125
  4841.93,  288.00,  288.00 sun,   < 0.824, 0.500,-0.268>, < 0.000, 0.000, 1.000>,  1.125
  4902.45,  291.60,  291.60 sun,   < 0.805, 0.500,-0.319>, < 0.000, 0.000, 1.000>,  1.125
  4962.98,  295.20,  295.20 sun,   < 0.784, 0.500,-0.369>, <-0.000,-0.000, 1.000>,  1.125
   5023.5,  298.80,  298.80 sun,   < 0.759, 0.500,-0.417>, <-0.000, 0.000, 1.000>,  1.125
  5084.03,  302.40,  302.40 sun,   < 0.731, 0.500,-0.464>, <-0.000, 0.000, 1.000>,  1.125
  5144.55,  306.00,  306.00 sun,   < 0.701, 0.500,-0.509>, < 0.000,-0.000, 1.000>,  1.125
  5205.08,  309.60,  309.60 sun,   < 0.667, 0.500,-0.552>, < 0.000, 0.000, 1.000>,  1.125
   5265.6,  313.20,  313.20 sun,   < 0.631, 0.500,-0.593>, <-0.000, 0.000, 1.000>,  1.125
  5326.12,  316.80,  316.80 sun,   < 0.593, 0.500,-0.631>, < 0.000, 0.000, 1.000>,  1.125
  5386.65,  320.40,  320.40 sun,   < 0.552, 0.500,-0.667>, <-0.000, 0.000, 1.000>,  1.125
  5447.17,  324.00,  324.00 sun,   < 0.509, 0.500,-0.701>, <-0.000, 0.000, 1.000>,  1.125
   5507.7,  327.60,  327.60 sun,   < 0.464, 0.500,-0.731>, < 0.000,-0.000, 1.000>,  1.125
  5568.22,  331.20,  331.20 sun,   < 0.417, 0.500,-0.759>, <-0.000, 0.000, 1.000>,  1.125
  5628.74,  334.80,  334.80 sun,   < 0.369, 0.500,-0.784>, <-0.000, 0.000, 1.000>,  1.125
  5689.27,  338.40,  338.40 sun,   < 0.319, 0.500,-0.805>, <-0.000,-0.000, 1.000>,  1.125
  5749.79,  342.00,  342.00 sun,   < 0.268, 0.500,-0.824>, <-0.000, 0.000, 1.000>,  1.125
  5810.32,  345.60,  345.60 sun,   < 0.215, 0.500,-0.839>, < 0.000, 0.000, 1.000>,  1.125
  5870.84,  349.20,  349.20 sun,   < 0.162, 0.500,-0.851>, <-0.000,-0.000, 1.000>,  1.125
  5931.37,  352.80,  352.80 sun,   < 0.109, 0.500,-0.859>, < 0.000,-0.000, 1.000>,  1.125
  5991.89,  356.40,  356.40 sun,   < 0.054, 0.500,-0.864>, <-0.000, 0.000, 1.000>,  1.125
  6052.41,  360.00,  360.00 sun,   < 0.000, 0.500,-0.866>, <-0.000, 0.000, 1.000>,  1.125

Time,    mean,   true,  speed,   normalize velocity vector
        0,    0.00,    0.00  7.452, < 1.000, 0.000,-0.000>, 
  60.5241,    3.60,    3.60  7.452, < 1.000, 0.000, 0.000>, 
  121.048,    7.20,    7.20  7.452, < 1.000, 0.000, 0.000>, 
  181.572,   10.80,   10.80  7.452, < 1.000,-0.000,-0.000>, 
  242.097,   14.40,   14.40  7.452, < 1.000, 0.000, 0.000>, 
  302.621,   18.00,   18.00  7.452, < 1.000, 0.000,-0.000>, 
  363.145,   21.60,   21.60  7.452, < 1.000, 0.000, 0.000>, 
  423.669,   25.20,   25.20  7.452, < 1.000, 0.000, 0.000>, 
  484.193,   28.80,   28.80  7.452, < 1.000, 0.000, 0.000>, 
  544.717,   32.40,   32.40  7.452, < 1.000,-0.000,-0.000>, 
  605.241,   36.00,   36.00  7.452, < 1.000,-0.000, 0.000>, 
  665.765,   39.60,   39.60  7.452, < 1.000, 0.000, 0.000>, 
   726.29,   43.20,   43.20  7.452, < 1.000, 0.000,-0.000>, 
  786.814,   46.80,   46.80  7.452, < 1.000,-0.000, 0.000>, 
  847.338,   50.40,   50.40  7.452, < 1.000, 0.000,-0.000>, 
  907.862,   54.00,   54.00  7.452, < 1.000, 0.000, 0.000>, 
  968.386,   57.60,   57.60  7.452, < 1.000, 0.000,-0.000>, 
  1028.91,   61.20,   61.20  7.452, < 1.000,-0.000,-0.000>, 
  1089.43,   64.80,   64.80  7.452, < 1.000, 0.000, 0.000>, 
  1149.96,   68.40,   68.40  7.452, < 1.000,-0.000,-0.000>, 
  1210.48,   72.00,   72.00  7.452, < 1.000, 0.000,-0.000>, 
  1271.01,   75.60,   75.60  7.452, < 1.000, 0.000,-0.000>, 
  1331.53,   79.20,   79.20  7.452, < 1.000, 0.000, 0.000>, 
  1392.06,   82.80,   82.80  7.452, < 1.000,-0.000,-0.000>, 
  1452.58,   86.40,   86.40  7.452, < 1.000, 0.000, 0.000>, 
   1513.1,   90.00,   90.00  7.452, < 1.000, 0.000, 0.000>, 
  1573.63,   93.60,   93.60  7.452, < 1.000, 0.000,-0.000>, 
  1634.15,   97.20,   97.20  7.452, < 1.000, 0.000, 0.000>, 
  1694.68,  100.80,  100.80  7.452, < 1.000, 0.000, 0.000>, 
   1755.2,  104.40,  104.40  7.452, < 1.000,-0.000,-0.000>, 
  1815.72,  108.00,  108.00  7.452, < 1.000, 0.000, 0.000>, 
  1876.25,  111.60,  111.60  7.452, < 1.000,-0.000,-0.000>, 
  1936.77,  115.20,  115.20  7.452, < 1.000,-0.000, 0.000>, 
   1997.3,  118.80,  118.80  7.452, < 1.000, 0.000, 0.000>, 
  2050.94,  121.99,  121.99  7.452, < 1.000, 0.000, 0.000>, 
  2057.82,  122.40,  122.40  7.452, < 1.000,-0.000, 0.000>, 
  2118.34,  126.00,  126.00  7.452, < 1.000, 0.000,-0.000>, 
  2178.87,  129.60,  129.60  7.452, < 1.000, 0.000,-0.000>, 
  2239.39,  133.20,  133.20  7.452, < 1.000,-0.000, 0.000>, 
  2299.92,  136.80,  136.80  7.452, < 1.000, 0.000, 0.000>, 
  2360.44,  140.40,  140.40  7.452, < 1.000,-0.000,-0.000>, 
  2420.97,  144.00,  144.00  7.452, < 1.000, 0.000, 0.000>, 
  2481.49,  147.60,  147.60  7.452, < 1.000,-0.000,-0.000>, 
  2542.01,  151.20,  151.20  7.452, < 1.000,-0.000, 0.000>, 
  2602.54,  154.80,  154.80  7.452, < 1.000,-0.000,-0.000>, 
  2663.06,  158.40,  158.40  7.452, < 1.000, 0.000, 0.000>, 
  2723.59,  162.00,  162.00  7.452, < 1.000, 0.000,-0.000>, 
  2784.11,  165.60,  165.60  7.452, < 1.000,-0.000, 0.000>, 
  2844.63,  169.20,  169.20  7.452, < 1.000, 0.000,-0.000>, 
  2905.16,  172.80,  172.80  7.452, < 1.000, 0.000, 0.000>, 
  2965.68,  176.40,  176.40  7.452, < 1.000,-0.000, 0.000>, 
  3026.21,  180.00,  180.00  7.452, < 1.000,-0.000, 0.000>, 
  3086.73,  183.60,  183.60  7.452, < 1.000, 0.000, 0.000>, 
  3147.25,  187.20,  187.20  7.452, < 1.000,-0.000, 0.000>, 
  3207.78,  190.80,  190.80  7.452, < 1.000, 0.000,-0.000>, 
   3268.3,  194.40,  194.40  7.452, < 1.000, 0.000, 0.000>, 
  3328.83,  198.00,  198.00  7.452, < 1.000, 0.000, 0.000>, 
  3389.35,  201.60,  201.60  7.452, < 1.000, 0.000, 0.000>, 
  3449.88,  205.20,  205.20  7.452, < 1.000, 0.000,-0.000>, 
   3510.4,  208.80,  208.80  7.452, < 1.000, 0.000, 0.000>, 
  3570.92,  212.40,  212.40  7.452, < 1.000, 0.000, 0.000>, 
  3631.45,  216.00,  216.00  7.452, < 1.000, 0.000, 0.000>, 
  3691.97,  219.60,  219.60  7.452, < 1.000, 0.000, 0.000>, 
   3752.5,  223.20,  223.20  7.452, < 1.000, 0.000, 0.000>, 
  3813.02,  226.80,  226.80  7.452, < 1.000, 0.000, 0.000>, 
  3873.54,  230.40,  230.40  7.452, < 1.000, 0.000, 0.000>, 
  3934.07,  234.00,  234.00  7.452, < 1.000, 0.000,-0.000>, 
  3994.59,  237.60,  237.60  7.452, < 1.000,-0.000, 0.000>, 
  4001.48,  238.01,  238.01  7.452, < 1.000, 0.000, 0.000>, 
  4055.12,  241.20,  241.20  7.452, < 1.000, 0.000,-0.000>, 
  4115.64,  244.80,  244.80  7.452, < 1.000, 0.000, 0.000>, 
  4176.17,  248.40,  248.40  7.452, < 1.000, 0.000,-0.000>, 
  4236.69,  252.00,  252.00  7.452, < 1.000, 0.000, 0.000>, 
  4297.21,  255.60,  255.60  7.452, < 1.000, 0.000, 0.000>, 
  4357.74,  259.20,  259.20  7.452, < 1.000,-0.000, 0.000>, 
  4418.26,  262.80,  262.80  7.452, < 1.000,-0.000, 0.000>, 
  4478.79,  266.40,  266.40  7.452, < 1.000, 0.000, 0.000>, 
  4539.31,  270.00,  270.00  7.452, < 1.000, 0.000, 0.000>, 
  4599.83,  273.60,  273.60  7.452, < 1.000,-0.000,-0.000>, 
  4660.36,  277.20,  277.20  7.452, < 1.000, 0.000,-0.000>, 
  4720.88,  280.80,  280.80  7.452, < 1.000,-0.000,-0.000>, 
  4781.41,  284.40,  284.40  7.452, < 1.000, 0.000,-0.000>, 
  4841.93,  288.00,  288.00  7.452, < 1.000, 0.000, 0.000>, 
  4902.45,  291.60,  291.60  7.452, < 1.000, 0.000,-0.000>, 
  4962.98,  295.20,  295.20  7.452, < 1.000, 0.000, 0.000>, 
   5023.5,  298.80,  298.80  7.452, < 1.000, 0.000,-0.000>, 
  5084.03,  302.40,  302.40  7.452, < 1.000, 0.000,-0.000>, 
  5144.55,  306.00,  306.00  7.452, < 1.000, 0.000,-0.000>, 
  5205.08,  309.60,  309.60  7.452, < 1.000, 0.000,-0.000>, 
   5265.6,  313.20,  313.20  7.452, < 1.000, 0.000,-0.000>, 
  5326.12,  316.80,  316.80  7.452, < 1.000,-0.000,-0.000>, 
  5386.65,  320.40,  320.40  7.452, < 1.000, 0.000,-0.000>, 
  5447.17,  324.00,  324.00  7.452, < 1.000, 0.000,-0.000>, 
   5507.7,  327.60,  327.60  7.452, < 1.000, 0.000, 0.000>, 
  5568.22,  331.20,  331.20  7.452, < 1.000, 0.000, 0.000>, 
  5628.74,  334.80,  334.80  7.452, < 1.000,-0.000,-0.000>, 
  5689.27,  338.40,  338.40  7.452, < 1.000, 0.000, 0.000>, 
  5749.79,  342.00,  342.00  7.452, < 1.000,-0.000, 0.000>, 
  5810.32,  345.60,  345.60  7.452, < 1.000, 0.000, 0.000>, 
  5870.84,  349.20,  349.20  7.452, < 1.000, 0.000,-0.000>, 
  5931.37,  352.80,  352.80  7.452, < 1.000, 0.000,-0.000>, 
  5991.89,  356.40,  356.40  7.452, < 1.000, 0.000,-0.000>, 
  6052.41,  360.00,  360.00  7.452, < 1.000, 0.000, 0.000>, 

Celestial coordinates:
Time,    mean,   true,   X,   Y,   Z
        0,    0.00,    0.00,       6216.5,  -7.4034e-10,       3589.1, 
  60.5241,    3.60,    3.60,       6204.2,       450.72,         3582, 
  121.048,    7.20,    7.20,       6167.4,       899.66,       3560.8, 
  181.572,   10.80,   10.80,       6106.3,         1345,       3525.5, 
